	start	end	text	label
461	00:33:00	00:33:00	Gave me a good one.	N
462	00:33:01	00:33:02	Would you mind taking these?	N
463	00:33:02	00:33:03	Sure. No problem.	N
464	00:33:04	00:33:07	I got buzzed into the bedroom.	Y
465	00:33:07	00:33:10	Mrs. Fitzgerald needed help with her zipper.	Y
466	00:33:10	00:33:13	I threw the paper towels in the wastepaper basket.	Y
467	00:33:23	00:33:25	That's a tidy little story.	N
468	00:33:29	00:33:34	You know, Jill's friends seemed like they were brainwashed... or brain-dead.	Y
469	00:33:34	00:33:37	And Moms was absentee at best, huh?	Y
470	00:33:37	00:33:38	Well, teenagers are very suggestive.	N
471	00:33:38	00:33:42	If Toby was the best thing she had going, it's the biggest influence in her life.	N
472	00:33:42	00:33:43	Yeah.	N
473	00:33:43	00:33:45	Don't even bother viewing those surveillance tapes.	N
474	00:33:45	00:33:47	No hospital's dispensed cisapride in three years.	N
475	00:33:47	00:33:48	So that's it?	N
476	00:33:48	00:33:51	The kids just magically got the drugs and offed themselves, end of story?	N
477	00:33:51	00:33:52	Not exactly.	Y
478	00:33:52	00:33:55	The white substance that you pulled from Romeo's blanket and Juliet's dress... Yeah?	Y
479	00:33:56	00:33:58	Denatured milk proteins and mucoid saliva.	N
480	00:34:00	00:34:01	Baby spittle.	N
481	00:34:01	00:34:03	There was a baby out there.	N
482	00:34:03	00:34:05	Not just any baby-- their baby.	N
483	00:34:05	00:34:06	I pulled DNA.	N
484	00:34:06	00:34:09	Two halves make a whole.	N
485	00:34:26	00:34:30	Mom's credit card showed a suit purchase in the young men's department at JC Penney's.	Y
486	00:34:30	00:34:32	Oh, yeah?	Y
487	00:34:32	00:34:36	Looks like Moms is a personal shopper and chauffeur, huh?	Y
488	00:34:36	00:34:37	Guess Moms is busy.	N
489	00:34:38	00:34:40	Too busy to notice a baby, apparently.	N
490	00:34:58	00:35:00	Ma'am, we have a warrant to search the premises.	Y
491	00:35:47	00:35:48	Warrick...	Y
492	00:35:49	00:35:52	Cisapride and fentanyl-- you care to explain this?	Y
493	00:35:52	00:35:54	My husband went through chemo, I told you that.	Y
494	00:35:54	00:35:56	The fentanyl's for my back pain.	N
495	00:35:56	00:35:59	Why didn't you tell us that Jill and Toby had access to these?	Y
496	00:35:59	00:36:01	Jill, I'm going to lie down.	N
497	00:36:01	00:36:03	Go get me those pills for my back.	Y
498	00:36:03	00:36:05	You didn't ask.	N
499	00:36:36	00:36:38	Hi, baby.	N
500	00:36:38	00:36:40	Hi, little baby.	N
501	00:36:43	00:36:45	I'm this baby's only chance.	N
502	00:36:45	00:36:47	Lady, you are out of chances.	N
503	00:36:47	00:36:50	Watching people kill themselves isn't against the law in Nevada.	N
504	00:37:04	00:37:06	So you encouraged them to take the pills.	N
505	00:37:06	00:37:09	How much longer are you two going to ruin my life, huh?	N
506	00:37:09	00:37:10	How much longer?	N
507	00:37:10	00:37:14	You drove them out to Death Valley after their last meal.	N
508	00:37:14	00:37:17	There's nothing like a little positive reinforcement, is there?	N
509	00:37:17	00:37:19	They were beyond saving.	N
510	00:37:23	00:37:26	Wait, Mom, I changed my mind.	N
511	00:37:26	00:37:27	I don't want to die.	N
512	00:37:27	00:37:29	Mom! Mom!	N
513	00:37:29	00:37:31	Please don't leave me!	N
514	00:37:31	00:37:34	I think we can convince a jury that you did more than just watch.	N
515	00:37:34	00:37:37	Not helping a child in danger is a misdemeanor.	N
516	00:37:37	00:37:39	You might as well write me a parking ticket.	N
517	00:37:39	00:37:42	We're going to write you up on murder, and then I'm going to call Child Services.	N
518	00:37:42	00:37:43	Go ahead.	N
519	00:37:43	00:37:46	I am next of kin, and without a record, I'm going to get her back in a second.	N
520	00:37:46	00:37:48	Miss...	N
521	00:37:50	00:37:51	It's okay.	N
522	00:37:51	00:37:52	It's all right. Hi.	N
523	00:37:52	00:37:54	It's all going to be better with Door Number Two.	N
524	00:37:54	00:37:57	That's right.	N
525	00:38:02	00:38:05	You think we even stand a chance?	N
526	00:38:06	00:38:08	No.	N
527	00:38:08	00:38:11	Hi... hey.	N
528	00:38:13	00:38:14	What have you got?	Y
529	00:38:15	00:38:18	We got animal, mineral, and now vegetable.	N
530	00:38:18	00:38:19	What?	N
531	00:38:19	00:38:22	I ran the trace on the remainder of the diamonds.	N
532	00:38:22	00:38:24	Lentils and carrots.	N
533	00:38:24	00:38:25	Carrots on the karats.	Y
534	00:38:26	00:38:27	I'm thinking Lori packed the diamonds.	N
535	00:38:28	00:38:29	After she fed the horse, evidently.	Y
536	00:38:40	00:38:42	( whinnying ) That a girl.	N
537	00:38:42	00:38:44	She was the only one who got close to that horse.	N
538	00:38:44	00:38:47	So Dr. Stevens didn't have one partner, he had two.	N
539	00:38:47	00:38:52	And Lori was the only one who knew there was five packages, which would explain why Stevens left one behind.	N
540	00:38:52	00:38:54	She was a victim, but she wasn't innocent.	Y
541	00:38:56	00:39:02	Okay, so, we've got a dead woman, a dead horse, a runaway vet, and...	Y
542	00:39:02	00:39:06	a couple million dollars worth of uncut diamonds that are unaccounted for.	N
543	00:39:06	00:39:09	Well, diamonds are worthless unless you have a buyer.	Y
544	00:39:09	00:39:13	What if the vet repackaged the diamonds, took them with him.	Y
545	00:39:13	00:39:14	PD traced him to the Caymans.	N
546	00:39:15	00:39:17	But why would he smuggle them into the country only to smuggle them out again?	N
547	00:39:19	00:39:20	Flight steward's story checks out.	N
548	00:39:20	00:39:24	Lori Hutchins had an ante-mortem gash on her right forearm.	Y
549	00:39:24	00:39:25	Ski instructor...	N
550	00:39:25	00:39:28	massuese... geez.	Y
551	00:39:28	00:39:30	Is there anyone not on Harper's payroll?	N
552	00:39:30	00:39:31	Well, you met her.	N
553	00:39:31	00:39:33	Would you be her friend for free?	Y
554	00:39:33	00:39:35	What about Harper?	Y
555	00:39:35	00:39:38	It was her plane, Meredith's horse.	N
556	00:39:38	00:39:39	She didn't care what happened to the horse.	N
557	00:39:40	00:39:42	Yeah, but she's got no reason to smuggle diamonds.	Y
558	00:39:42	00:39:44	Reward's not worth the risk.	Y
559	00:39:50	00:39:51	Rhone Kinsey-Confer.	Y
560	00:39:55	00:40:00	Hey, what if we were thinking about this whole thing a little too globally?	Y
561	00:40:00	00:40:05	I'm going to find out what Rhone's mother's maiden name is.	Y
562	00:40:05	00:40:07	What's his mother got to do with it?	Y
563	00:40:07	00:40:09	She may have sold me my engagement ring.	Y
564	00:40:11	00:40:13	Brass, check out Kinsey Diamonds.	Y
565	00:40:13	00:40:15	Find out if the owner is related to our concierge.	Y
566	00:40:15	00:40:17	Sir, stop what you're doing.	Y
567	00:40:17	00:40:21	Las Vegas Police. We have a search and seizure warrant for any and all diamonds.	Y
568	00:40:21	00:40:23	I bought those diamonds.	N
569	00:40:23	00:40:24	They're mine.	N
570	00:40:24	00:40:25	What are you doing?	N
571	00:40:25	00:40:31	Mrs. Kinsey, did you ever stop and think that maybe your family discount was a little too good to be true?	N
572	00:40:31	00:40:34	Did you really think your son mined those rocks himself?	Y
573	00:40:34	00:40:35	Come on.	Y
574	00:40:35	00:40:36	Think about it.	N
575	00:40:41	00:40:45	Yeah, someone else's plane, someone else's horse.	N
576	00:40:45	00:40:46	What a good plan.	N
577	00:40:46	00:40:48	Except you got caught.	N
578	00:40:48	00:40:54	Why even bother when you had everything you wanted at your disposal?	N
579	00:40:54	00:40:55	Tantalus.	N
580	00:40:55	00:40:59	Stuck in hell, forever staring at the fruit just out of reach.	N
581	00:40:59	00:41:02	Except you couldn't do it without Lori.	N
582	00:41:02	00:41:04	My guess is her death was an accident.	N
583	00:41:04	00:41:07	Did she care more about the horse than she did the diamonds?	N
584	00:41:07	00:41:09	Can't you give her a pill or something?	N
585	00:41:09	00:41:10	I'm taking the diamonds out.	N
586	00:41:10	00:41:11	No, you're not.	N
587	00:41:11	00:41:12	We've come too far to have this fall apart now.	N
588	00:41:12	00:41:14	It's not worth the horse's life.	N
589	00:41:14	00:41:15	Yeah, well, it is to me.	N
590	00:41:16	00:41:17	Prove it.	N
591	00:41:20	00:41:21	Would you mind taking off your shirt?	N
592	00:41:21	00:41:23	I don't want to.	N
593	00:41:23	00:41:27	Well, that's unfortunate, because...	N
594	00:41:27	00:41:31	your tax evasion allows us to expand your warrant.	N
595	00:41:31	00:41:34	And your shirt-- that's just the beginning.	N
596	00:41:39	00:41:40	What are you looking for?	N
597	00:41:40	00:41:42	Evidence of a struggle.	N
598	00:41:44	00:41:45	Oh, and there it is.	N
599	00:41:47	00:41:50	High-powered pneumatic guns don't need to be loaded to leave a mark.	N
600	00:42:10	00:42:11	Freakin' pony lover.	N
601	00:42:11	00:42:15	A horse, a horse, my kingdom for a horse.	N
