	start	end	text
507	00:34:40	00:34:43	I don't really see the kid pulling a Gotti.
508	00:34:43	00:34:46	Okay, two victims, two taps to the head.
509	00:34:46	00:34:48	But the loads are different.
510	00:34:48	00:34:50	Well, maybe he ran out of ammo.
511	00:34:50	00:34:51	Went back and bought another brand.
512	00:34:51	00:34:53	And reloaded, yeah.
513	00:34:53	00:35:01	The bullets that were found in Teddy Keller's skull, were copper washed CCI .22s.
514	00:35:01	00:35:05	And the two rounds found in Davis Mullins were Remington brass washed.
515	00:35:05	00:35:12	So, based on the position of the cylinder Remingtons were fired first?
516	00:35:19	00:35:25	But that would mean that Davis Mullins was killed in the apartment before Teddy Keller was killed in the Graveyard.
517	00:35:25	00:35:26	The timeline's off.
518	00:35:28	00:35:31	Blood on the shirt is a match to Davis Mullins.
519	00:35:31	00:35:36	Epithelials from inside the shirt belong to Seth Landers.
520	00:35:40	00:35:42	What?
521	00:35:42	00:35:45	That means Sam Braun's innocent. This time.
522	00:35:46	00:35:49	Are you disappointed?
523	00:35:49	00:35:51	It's the evidence.
524	00:35:56	00:35:57	What's up, man?
525	00:35:57	00:35:59	Am I going to get out of here?
526	00:35:59	00:36:00	No.
527	00:36:00	00:36:03	Where did you go after Teddy Keller was taken?
528	00:36:03	00:36:09	You know what, you keep on asking me all these questions, but my lawyer says I'm not even supposed to talk to you.
529	00:36:09	00:36:11	Okay, you don't have to talk to me.
530	00:36:11	00:36:14	But you got to know you're looking at two counts of murder.
531	00:36:14	00:36:15	What?
532	00:36:15	00:36:17	I didn't kill anybody.
533	00:36:17	00:36:18	This is crazy.
534	00:36:18	00:36:19	Then talk to me.
535	00:36:19	00:36:21	Tell me what happened.
536	00:36:21	00:36:23	Where did you go? For real.
537	00:36:23	00:36:26	I waited outside the casino for an hour.
538	00:36:26	00:36:30	Teddy didn't show up so I went to his place.
539	00:36:30	00:36:32	Davis, where are you, man?
540	00:36:32	00:36:33	Braun got Teddy.
541	00:36:33	00:36:35	Davis, wake up, man!
542	00:36:45	00:36:49	We found the murder weapon that was used to kill your two partners.
543	00:36:49	00:36:53	It was wrapped in your bloody T-shirt.
544	00:36:53	00:36:54	Can you tell me about that?
545	00:36:54	00:36:59	I have never used a gun in my life.
546	00:36:59	00:37:04	It was found outside of your campus apartment.
547	00:37:04	00:37:07	That can't be.
548	00:37:07	00:37:09	Can be.
549	00:37:09	00:37:11	Unless you clear it up.
550	00:37:11	00:37:15	Um...
551	00:37:15	00:37:23	The rule was that if something went wrong, we were supposed to just go home.
552	00:37:23	00:37:31	Uh... so I found the body, got blood all over my shirt, so... I gave it to my dad.
553	00:37:31	00:37:33	I gave my dad the shirt.
554	00:37:33	00:37:34	He's the one who had the shirt.
555	00:37:34	00:37:36	Dad! Dad!
556	00:37:36	00:37:38	Davis... Davis is dead.
557	00:37:38	00:37:40	I think they got Teddy, too.
558	00:37:40	00:37:41	Braun's on to us.
559	00:37:41	00:37:43	What am I going to do?
560	00:37:43	00:37:44	Give me your shirt.
561	00:37:44	00:37:46	Go back to school and lay low.
562	00:37:48	00:37:53	Are you trying to tell me that your own father set you up?
563	00:37:59	00:38:02	The truth is, I just wanted him to like me.
564	00:38:04	00:38:05	But I'm not him.
565	00:38:05	00:38:08	You know, I'm never going to be him.
566	00:38:08	00:38:11	Counting cards and the poker face.
567	00:38:11	00:38:18	They say it's a skill, but it's a gift.
568	00:38:18	00:38:20	Till Sam Braun took it away.
569	00:38:20	00:38:24	So you went after Sam Braun to prove something to your old man.
570	00:38:24	00:38:29	I mean, I went after the whale, but I skinned it.
571	00:38:29	00:38:32	I did what my dad could never do.
572	00:38:38	00:38:40	Does your father own a .22?
573	00:38:52	00:38:54	I got nothing.
574	00:39:01	00:39:04	Maybe he was expecting us.
575	00:39:04	00:39:06	You think he cleaned up?
576	00:39:13	00:39:14	Well, if he did...
577	00:39:14	00:39:16	he missed a spot.
578	00:39:36	00:39:38	Nice and new in here.
579	00:39:43	00:39:47	Sherwin Williams, latex flat.
580	00:39:47	00:39:51	Navajo White. What do you know.
581	00:39:51	00:39:56	Same as the paint on the shirt.
582	00:40:06	00:40:10	What's in the bag, Dad?
583	00:40:10	00:40:11	Money from...
584	00:40:11	00:40:13	the Tangiers...
585	00:40:13	00:40:17	Money from Pike's.
586	00:40:17	00:40:19	Bet there's 50 grand in there.
587	00:40:21	00:40:23	Plus...
588	00:40:23	00:40:26	what could be paint and blood smears.
589	00:40:28	00:40:31	That blood could match the stains we found on Davis' shirt.
590	00:40:31	00:40:34	I don't understand why he had to kill his kids.
591	00:40:34	00:40:37	They were making a lot of money off of Braun.
592	00:40:37	00:40:39	Dad was getting his revenge.
593	00:40:39	00:40:43	My guess, stopped being about the money.
594	00:40:43	00:40:44	( phone ringing ) Yeah.
595	00:40:45	00:40:46	Hey, Joe, it's Teddy.
596	00:40:46	00:40:47	Oh, hi, Teddy.
597	00:40:47	00:40:48	Sam's on to us. He took me to Neon Graveyard.
598	00:40:48	00:40:49	Slow down, slow down.
599	00:40:49	00:40:50	I had to give him the money.
600	00:40:50	00:40:51	I thought he was going to kill me.
601	00:40:52	00:40:53	Don't move. I'll be there in a minute.
602	00:41:03	00:41:05	Mr. Greene, what's up, man?
603	00:41:05	00:41:06	Hey...
604	00:41:06	00:41:07	Hey...
605	00:41:15	00:41:20	Why settle for the money, when you can frame up your worst enemy for murder.
606	00:41:23	00:41:26	Hey, what the hell took you so long?
607	00:41:26	00:41:29	Joe... Joe we got a problem.
608	00:41:29	00:41:31	Sam... Sam he...
609	00:41:31	00:41:33	Turn around and walk.
610	00:42:02	00:42:04	Sam.
611	00:42:07	00:42:10	Could I buy you some dinner?
612	00:42:10	00:42:12	Feeling a little guilty?
613	00:42:12	00:42:15	Hey, Sam, where's the ice?
614	00:42:15	00:42:17	Next to the TV, kid.
615	00:42:24	00:42:28	You want to catch a cheater-- hire one.
616	00:42:28	00:42:30	Right.
617	00:42:30	00:42:32	He gets to work off his debt.
618	00:42:32	00:42:37	On way or another, I always get my money's worth.
