	sentence	killer_gold	medion_time
570	she 's bleeding out	N	00:35:24.645
571	busted artery	N	00:35:26.801
572	ms hamshaw dr lavalle was performing illegal surgeries and you were assisting	N	00:35:34.982
573	now why would you be involved with something like that	N	00:35:39.264
574	mona and francis helped me clean up	Y	00:35:42.085
575	they gave me money to be a surrogate mom for tippi and got me my rn degree	Y	00:35:47.463
576	they 're family	Y	00:35:51.522
577	so tippi has two dads and one mom	Y	00:35:54.581
578	actually it 's two moms and a dad	Y	00:35:57.966
579	okay tell me about wendygarner	N	00:36:00.903
580	her procedure was completely successful	N	00:36:04.743
581	well right up till her death	N	00:36:07.322
582	i had nothing to do with that	N	00:36:09.616
583	i was at tippi 's soccer game with mona	N	00:36:11.954
584	okay now what 's next	N	00:37:02.079
585	i do n't know	N	00:37:03.103
586	we 've got belle	N	00:37:04.127
587	okay	N	00:37:05.121
588	belle	N	00:37:05.749
589	belle	N	00:37:05.749
590	that 's so sweet	N	00:37:07.006
591	oh my god what is this	N	00:37:12.126
592	how could you do this	N	00:37:14.656
593	i just wanted you to keep my secret from aaron not this	N	00:37:16.596
594	i trusted you	N	00:37:18.594
595	how could you just leave her like this	N	00:37:20.329
596	so much blood	N	00:37:30.885
597	i mean this day means so much to me	N	00:37:33.824
598	and to have girlfriends like you it 's just amazing	N	00:37:33.865
599	thirty seconds of mutilation recorded over a bridal shower	N	00:37:35.764
600	she told her best friend and officer mann that she had some videos to show	N	00:37:39.985
601	i think she must have been trying to expose lavalle	N	00:37:45.164
602	brown	N	00:37:52.683
603	really	N	00:37:54.682
604	thanks	N	00:37:56.762
605	that was brass	N	00:37:58.763
606	ten soccer moms confirm they saw dr lavalle and amberhamshaw at the soccer game the night wendy was killed	N	00:38:02.865
607	another dead end	N	00:38:06.985
608	those fingerprints on the video tape you recovered	N	00:38:08.874
609	we got a match	N	00:38:10.529
610	wendy 's video tape your fingerprint	Y	00:38:13.863
611	doctor help me understand something	Y	00:38:18.047
612	wendy videotaped the storage area threatening to expose your wife 's good work because your wife was threatening to tell wendy 's fiancee that she 's not what she appears to be	Y	00:38:24.923
613	but the three of you were still getting it on	Y	00:38:34.266
614	i beg your pardon	Y	00:38:35.984
615	based on the dna that we found in wendy 's cheek you were swapping spit with her and your wife was swapping something else with her	Y	00:38:41.702
616	now we know that post-ops ca n't ejaculate	N	00:38:47.664
617	so the only way i can explain the semen in wendy 's mouth is your wife is still packing	Y	00:38:51.185
618	yes and i performed fellatio on my wife after lunch	Y	00:38:54.841
619	is that a crime	N	00:38:58.045
620	i have no idea how anything got into wendy 's mouth	Y	00:38:59.883
621	my wife and i did not cheat	Y	00:39:03.566
622	you do n't get it do you	N	00:39:07.095
623	because we 're different	Y	00:39:08.631
624	we still love	Y	00:39:11.714
625	we still honor	Y	00:39:13.608
626	is that why you hacked out wendy 's adam 's apple	Y	00:39:15.964
627	love and honor	N	00:39:18.438
628	you went back to the storage area to get rid of vern 's body	Y	00:39:20.634
629	you saw wendy leaving	Y	00:39:22.210
630	mimosa look it 's me	N	00:39:38.570
631	i need your help okay	N	00:39:40.784
632	i have these videos and i have to show you them	N	00:39:43.225
633	you 're never going to believe what 's on them	N	00:39:45.181
634	these people they have to be stopped	Y	00:39:47.322
635	how dare you	N	00:39:52.904
636	you do n't appreciate anything she does for you	N	00:39:56.581
637	i tried to protect my wife 's work	Y	00:40:08.784
638	not just for us	Y	00:40:11.786
639	for all the people like us	Y	00:40:13.504
640	so the man admits to murder but not infidelity	Y	00:40:18.025
641	well maybe he was n't unfaithful	Y	00:40:20.061
642	you know i read a paper in the jfs documenting a case where a woman kissed a man who had smoked a cigarette	N	00:40:23.886
643	when they tested the cigarette butt they found both their dna on it	N	00:40:28.205
644	so you 're saying it was transfer	N	00:40:30.962
645	well if francis gave his wife fellatio shortly before he killed wendy it 's possible that some of the semen was still in his mouth and it got transferred onto her through his spit	Y	00:40:36.203
646	right	N	00:40:45.716
647	do n't you think	N	00:40:46.734
648	i thought you 'd want to know what happened to wendy	N	00:40:50.605
649	i appreciate your telling me	N	00:40:53.544
650	killed by someone in our own community	Y	00:40:56.206
651	as if we do n't have enough enemies	N	00:40:58.846
652	her parents never understood her but still i think they should know	N	00:41:06.242
653	what do i say	N	00:41:10.985
654	show them an oyster	N	00:41:15.975
655	i 'm sorry	N	00:41:17.351
656	there are two types of male oysters and one of them can change genders at will	N	00:41:21.244
657	and before man crawled out of the muck maybe he had the same option	N	00:41:26.324
